device_id,device_name,aliases,interface_class,signal_class,system_class,primary_target,status,first_human_year,key_papers,trial_ids,notes
BTSD-IMBCI-0001,BrainGate / NeuroPort (Utah Microelectrode Array family),"UEA, Utah Array, Blackrock NeuroPort, NeuroPort Array",intracortical,spikes + LFP,percutaneous tether (historical); some fully implanted variants in research,motor cortex (M1),human (research),~1998 (varies by study),Ajiboye et al. 2017 (PMID:28363483); other BrainGate staples TBD,NCT00912041 (BrainGate2),"Flag as a platform family; later split by array generation, connector/headstage, and study site."
BTSD-IMBCI-0002,Neuralink N1,"N1 implant, N1 Link (naming varies)",intracortical (flexible threads),spikes + LFP (reported/claimed),fully implanted wireless,motor cortex (M1),human (research),2024,Peer-reviewed chronic human paper: TBD; engineering papers/whitepapers: TBD,PRIME study registry: TBD,Keep separate rows later for implant hardware vs robotic inserter vs external stack.
BTSD-IMBCI-0003,Synchron Stentrode (Endovascular BCI),"Stentrode, endovascular stent-electrode array",endovascular,ECoG-like field potentials,implanted lead + subcutaneous telemetry; external power/telemetry,superior sagittal sinus adjacent to motor cortex,human (research),~2019–2020,Vansteensel-style fully implanted BCI differs; for Stentrode: early feasibility papers TBD,NCT03834857 (SWITCH),Later link definitive first-in-human paper + JAMA Neurology safety/feasibility paper.
BTSD-IMBCI-0004,WIMAGINE (CEA-Clinatec) epidural wireless ECoG implant,"WIMAGINE, CEA-Clinatec epidural implant",ECoG (epidural),ECoG,fully implanted wireless (cranial implant + external),motor cortex region (epidural over M1),human (research),~2016–2017 (trial era),Benabid et al. 2019 (Lancet Neurology),NCT02550522,Used for exoskeleton / motor restoration demonstrations.
BTSD-IMBCI-0005,Fully implanted subdural ECoG BCI (home use),“fully implanted BCI” (Vansteensel et al. 2016),ECoG (subdural),ECoG,fully implanted,motor cortex,human (research),<=2016,Vansteensel et al. 2016 (PMID:27959736),TBD,Key exemplar for implanted ECoG-based cursor control at home.
BTSD-IMBCI-0006,Long-term iBCI from intracranial field potentials (LFP/ECoG),Milekovic et al. 2018 chronic iBCI (field potentials),intracranial field potentials (ECoG/LFP),LFP/ECoG,varies by study (often tethered),motor cortex,human (research),<=2018,Milekovic et al. 2018 (PMC: PMC6093965),TBD,Useful as a ‘signal class’ anchor; hardware platform details to disambiguate later.
BTSD-IMBCI-0007,CortiCom (surface electrode sheet iBCI),CortiCom BCI,ECoG (surface sheet),ECoG,implanted leads + external interface (varies),motor cortex,human (research),TBD,Trial-linked publications: TBD,NCT03567213,Keep as separate platform; later link device manufacturer + electrode sheet specs.
BTSD-IMBCI-0008,Brain–Spine Interface (“digital bridge”),"STIMO-BSI, brain-to-spine digital bridge",brain implant + spinal stimulation (system-of-systems),motor intent decoding + epidural stimulation,implanted brain recording + implanted spinal stim; external compute,motor cortex → spinal cord (epidural),human (research),2023,Nature 2023 digital bridge between brain and spinal cord (DOI/TBD),TBD,Catalog as a combined platform; later split brain implant hardware vs spinal stim hardware.
BTSD-IMBCI-0009,Neurotrophic Electrode (NTE),"Neurotrophic electrode, cone electrode (Kennedy)",intracortical (neurotrophic),spikes/LFP (low channel count),percutaneous tether (historical),motor cortex,human (research; historical),~1990s–2000s,Kennedy/Bakay foundational papers: TBD,TBD,Include as distinct design family; later add definitive citations and device details.
BTSD-IMBCI-0010,Paradromics Connexus (acute first-in-human test),Connexus,intracortical (high-channel array),spikes (reported),acute intraoperative test (as reported),cortex (context-specific),human (acute test),2023–2024 (reported),First-in-human report/news + future peer-reviewed: TBD,TBD,Keep separate until chronic implants publish; tag as acute.
