device_id,device_name,aliases,implant_class,target_tissue,status,first_human_year,key_papers,trial_ids,notes
BTSD-AUD-COCH-0001,Cochlear Nucleus CI24M Series,CI24M,cochlear (internal receiver-stimulator),cochlea / auditory nerve,discontinued; implanted in humans,1997 (global release),Cochlear 'solutions – a history of innovation' (CI24M 97); Cochlear MRI implant list (includes CI24M series).,—,CI24M family (multichannel) precedes CI24R/CI24RE.
BTSD-AUD-COCH-0002,Cochlear Nucleus CI24R Series,CI24R (CA/CS/ST),cochlear (internal receiver-stimulator),cochlea / auditory nerve,discontinued; implanted in humans,2000 (global release),Cochlear 'solutions – a history of innovation' (CI24R 00); Cochlear MRI implant list (CI24R series).,—,CI24R variants listed by Cochlear include CA/CS/ST styles.
BTSD-AUD-COCH-0003,Cochlear Nucleus CI24RE Series,CI24RE (CA/CS/ST),cochlear (internal receiver-stimulator),cochlea / auditory nerve,largely discontinued; implanted in humans,2005 (global release),Cochlear 'solutions – a history of innovation' (CI24RE 05); Cochlear MRI implant list (CI24RE series).,—,CI24RE series includes the Hybrid L24 variant (CI24REH).
BTSD-AUD-COCH-0004,Cochlear Nucleus Hybrid L24,CI24REH (Hybrid L24),cochlear (hybrid EAS internal implant),cochlea / auditory nerve (hybrid EAS),discontinued/legacy; implanted in humans,2008 (global release),Cochlear 'solutions – a history of innovation' (Hybrid L24 08); Cochlear MRI implant list (CI24REH).,—,Hybrid electro‑acoustic stimulation (EAS) configuration; treated here as its own generation/row.
BTSD-AUD-COCH-0005,Cochlear Nucleus CI422 (CI24RE series),CI422,cochlear (internal receiver-stimulator),cochlea / auditory nerve,legacy; implanted in humans,~2011 (introduced with Slim Straight electrode era),Cochlear MRI implant list (CI422 appears under CI24RE series compatibility listings).,—,Cochlear’s MRI list explicitly includes CI422 under the CI24RE series grouping; often associated with Slim Straight electrode generation.
BTSD-AUD-COCH-0006,Cochlear Nucleus CI512 (CI500 Series),CI512,cochlear (internal receiver-stimulator),cochlea / auditory nerve,active/legacy mix; implanted in humans,2009 (CI500 series global release),Cochlear 'solutions – a history of innovation' (CI500 series 09); Cochlear MRI implant list (CI512).,—,One of the CI500‑series internal implants (Profile/CI500 family).
BTSD-AUD-COCH-0007,Cochlear Nucleus CI522 (CI500 Series),CI522,cochlear (internal receiver-stimulator),cochlea / auditory nerve,active/legacy mix; implanted in humans,2009 (CI500 series global release),Cochlear 'solutions – a history of innovation' (CI500 series 09); Cochlear MRI implant list (CI522).,—,One of the CI500‑series internal implants (Profile/CI500 family).
BTSD-AUD-COCH-0008,Cochlear Nucleus CI532 (CI500 Series),CI532,cochlear (internal receiver-stimulator),cochlea / auditory nerve,active/legacy mix; implanted in humans,2009 (CI500 series global release),Cochlear 'solutions – a history of innovation' (CI500 series 09); Cochlear MRI implant list (CI532).,—,One of the CI500‑series internal implants (Profile/CI500 family).
BTSD-AUD-COCH-0009,Cochlear Nucleus CI612 (Profile Plus / CI600 Series),CI612,cochlear (internal receiver-stimulator),cochlea / auditory nerve,active; implanted in humans,2019 (Profile Plus / CI600 series global release),Cochlear 'solutions – a history of innovation' (Profile Plus / CI600 series 19); Cochlear MRI implant list (CI612).,—,CI600 series designed for 3T MRI with magnet in place (per Cochlear MRI page).
BTSD-AUD-COCH-0010,Cochlear Nucleus CI622 (Profile Plus / CI600 Series),CI622,cochlear (internal receiver-stimulator),cochlea / auditory nerve,active; implanted in humans,2019 (Profile Plus / CI600 series global release),Cochlear 'solutions – a history of innovation' (Profile Plus / CI600 series 19); Cochlear MRI implant list (CI622).,—,CI600 series designed for 3T MRI with magnet in place (per Cochlear MRI page).
BTSD-AUD-COCH-0011,Cochlear Nucleus CI624 (Profile Plus / CI600 Series),CI624,cochlear (internal receiver-stimulator),cochlea / auditory nerve,active; implanted in humans,2019 (Profile Plus / CI600 series global release),Cochlear 'solutions – a history of innovation' (Profile Plus / CI600 series 19); Cochlear MRI implant list (CI624).,—,CI600 series designed for 3T MRI with magnet in place (per Cochlear MRI page).
BTSD-AUD-COCH-0012,Cochlear Nucleus CI632 (Profile Plus / CI600 Series),CI632,cochlear (internal receiver-stimulator),cochlea / auditory nerve,active; implanted in humans,2019 (Profile Plus / CI600 series global release),Cochlear 'solutions – a history of innovation' (Profile Plus / CI600 series 19); Cochlear MRI implant list (CI632).,—,CI600 series designed for 3T MRI with magnet in place (per Cochlear MRI page).
BTSD-AUD-COCH-0101,Advanced Bionics Clarion (C-1),"Clarion, C-1",cochlear (internal receiver-stimulator),cochlea / auditory nerve,discontinued; implanted in humans,1996 (adult approval),Advanced Bionics 'Legacy Implants' page (Clarion C-1 first approved 1996).,—,Included for lineage completeness (pre-20y) because many long-term cohorts still reference Clarion/C-1.
BTSD-AUD-COCH-0102,Advanced Bionics CII,CII,cochlear (internal receiver-stimulator),cochlea / auditory nerve,discontinued/legacy; implanted in humans,2001 (introduced),Advanced Bionics 'Legacy Implants' page (CII introduced 2001).,—,Chip generation enabling later HiRes processing upgrades.
